COG	8_1_Oct_SF_Bin1	8_1_Oct_SF_Bin100	8_1_Oct_SF_Bin101	8_1_Oct_SF_Bin102	8_1_Oct_SF_Bin103	8_1_Oct_SF_Bin104	8_1_Oct_SF_Bin105	8_1_Oct_SF_Bin107	8_1_Oct_SF_Bin109	8_1_Oct_SF_Bin11	8_1_Oct_SF_Bin111	8_1_Oct_SF_Bin13	8_1_Oct_SF_Bin14	8_1_Oct_SF_Bin17	8_1_Oct_SF_Bin18	8_1_Oct_SF_Bin19	8_1_Oct_SF_Bin20	8_1_Oct_SF_Bin23	8_1_Oct_SF_Bin24	8_1_Oct_SF_Bin25	8_1_Oct_SF_Bin26	8_1_Oct_SF_Bin28	8_1_Oct_SF_Bin29	8_1_Oct_SF_Bin3	8_1_Oct_SF_Bin32	8_1_Oct_SF_Bin33	8_1_Oct_SF_Bin34	8_1_Oct_SF_Bin35	8_1_Oct_SF_Bin36	8_1_Oct_SF_Bin37	8_1_Oct_SF_Bin39	8_1_Oct_SF_Bin4	8_1_Oct_SF_Bin41	8_1_Oct_SF_Bin42	8_1_Oct_SF_Bin45	8_1_Oct_SF_Bin47	8_1_Oct_SF_Bin49	8_1_Oct_SF_Bin52	8_1_Oct_SF_Bin53	8_1_Oct_SF_Bin54	8_1_Oct_SF_Bin55	8_1_Oct_SF_Bin56	8_1_Oct_SF_Bin59	8_1_Oct_SF_Bin61	8_1_Oct_SF_Bin62	8_1_Oct_SF_Bin63	8_1_Oct_SF_Bin66	8_1_Oct_SF_Bin67	8_1_Oct_SF_Bin68	8_1_Oct_SF_Bin69	8_1_Oct_SF_Bin71	8_1_Oct_SF_Bin72	8_1_Oct_SF_Bin73	8_1_Oct_SF_Bin74	8_1_Oct_SF_Bin77	8_1_Oct_SF_Bin79	8_1_Oct_SF_Bin8	8_1_Oct_SF_Bin80	8_1_Oct_SF_Bin81	8_1_Oct_SF_Bin82	8_1_Oct_SF_Bin83	8_1_Oct_SF_Bin84	8_1_Oct_SF_Bin85	8_1_Oct_SF_Bin87	8_1_Oct_SF_Bin90	8_1_Oct_SF_Bin91	8_1_Oct_SF_Bin92	8_1_Oct_SF_Bin93	8_1_Oct_SF_Bin95	8_1_Oct_SF_Bin96	8_1_Oct_SF_Bin98	NoBin	Total
COG0001	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	4.0	1.0	1.0	0.0	2.0	0.0	2.0	1.0	2.0	1.0	890.0	967.0
COG0002	2.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	487.0	542.0
COG0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	190.0	200.0
COG0004	1.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	706.0	765.0
COG0005	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.0	1.0	1.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	450.0	519.0
COG0006	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	0.0	1.0	4.0	8.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	6.0	2.0	1.0	3.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	5.0	2.0	2.0	2.0	9.0	5.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	0.0	4.0	3.0	2.0	2.0	5.0	3.0	1.0	2.0	4.0	1.0	1261.0	1398.0
COG0007	1.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	292.0	333.0
COG0008	2.0	0.0	3.0	3.0	1.0	3.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	0.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	3.0	2.0	0.0	0.0	1.0	0.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	4.0	2.0	2.0	1.0	5.0	0.0	3.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	1220.0	1334.0
COG0009	1.0	1.0	2.0	2.0	3.0	2.0	1.0	0.0	1.0	1.0	2.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	521.0	598.0
COG0010	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	1.0	2.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	3.0	1.0	1.0	1.0	0.0	616.0	683.0
COG0011	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	116.0
COG0012	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	638.0	703.0
COG0013	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	0.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	1196.0	1282.0
COG0014	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	444.0	497.0
COG0015	2.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	643.0	709.0
COG0016	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	542.0	608.0
COG0017	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	3.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	6.0	0.0	1.0	1.0	5.0	2.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0	509.0	576.0
COG0018	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	816.0	889.0
COG0019	2.0	0.0	4.0	2.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	1.0	2.0	3.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	0.0	0.0	3.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	2.0	2.0	2.0	1.0	0.0	1.0	2.0	2.0	2.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	2.0	804.0	886.0
COG0020	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	483.0	545.0
COG0021	2.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	703.0	746.0
COG0022	2.0	2.0	3.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	6.0	3.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	3.0	0.0	3.0	1.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	771.0	844.0
