COG	8_1_Oct_SF_Bin1	8_1_Oct_SF_Bin100	8_1_Oct_SF_Bin101	8_1_Oct_SF_Bin102	8_1_Oct_SF_Bin103	8_1_Oct_SF_Bin104	8_1_Oct_SF_Bin105	8_1_Oct_SF_Bin107	8_1_Oct_SF_Bin109	8_1_Oct_SF_Bin11	8_1_Oct_SF_Bin111	8_1_Oct_SF_Bin13	8_1_Oct_SF_Bin14	8_1_Oct_SF_Bin17	8_1_Oct_SF_Bin18	8_1_Oct_SF_Bin19	8_1_Oct_SF_Bin20	8_1_Oct_SF_Bin23	8_1_Oct_SF_Bin24	8_1_Oct_SF_Bin25	8_1_Oct_SF_Bin26	8_1_Oct_SF_Bin28	8_1_Oct_SF_Bin29	8_1_Oct_SF_Bin3	8_1_Oct_SF_Bin32	8_1_Oct_SF_Bin33	8_1_Oct_SF_Bin34	8_1_Oct_SF_Bin35	8_1_Oct_SF_Bin36	8_1_Oct_SF_Bin37	8_1_Oct_SF_Bin39	8_1_Oct_SF_Bin4	8_1_Oct_SF_Bin41	8_1_Oct_SF_Bin42	8_1_Oct_SF_Bin45	8_1_Oct_SF_Bin47	8_1_Oct_SF_Bin49	8_1_Oct_SF_Bin52	8_1_Oct_SF_Bin53	8_1_Oct_SF_Bin54	8_1_Oct_SF_Bin55	8_1_Oct_SF_Bin56	8_1_Oct_SF_Bin59	8_1_Oct_SF_Bin61	8_1_Oct_SF_Bin62	8_1_Oct_SF_Bin63	8_1_Oct_SF_Bin66	8_1_Oct_SF_Bin67	8_1_Oct_SF_Bin68	8_1_Oct_SF_Bin69	8_1_Oct_SF_Bin71	8_1_Oct_SF_Bin72	8_1_Oct_SF_Bin73	8_1_Oct_SF_Bin74	8_1_Oct_SF_Bin77	8_1_Oct_SF_Bin79	8_1_Oct_SF_Bin8	8_1_Oct_SF_Bin80	8_1_Oct_SF_Bin81	8_1_Oct_SF_Bin82	8_1_Oct_SF_Bin83	8_1_Oct_SF_Bin84	8_1_Oct_SF_Bin85	8_1_Oct_SF_Bin87	8_1_Oct_SF_Bin90	8_1_Oct_SF_Bin91	8_1_Oct_SF_Bin92	8_1_Oct_SF_Bin93	8_1_Oct_SF_Bin95	8_1_Oct_SF_Bin96	8_1_Oct_SF_Bin98	NoBin	Total
COG0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	91.0	111.0
COG0024	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	510.0	577.0
COG0025	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	417.0	459.0
COG0026	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	313.0	338.0
COG0027	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	109.0	123.0
COG0028	2.0	0.0	1.0	2.0	0.0	3.0	3.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	4.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	0.0	3.0	0.0	2.0	2.0	1.0	5.0	1.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	4.0	3.0	1.0	4.0	1.0	3.0	0.0	4.0	6.0	1.0	12.0	2.0	0.0	5.0	2.0	2.0	4.0	1.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	2.0	0.0	0.0	2.0	0.0	3.0	0.0	4.0	2169.0	2300.0
COG0029	0.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	474.0	524.0
COG0030	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	456.0	532.0
COG0031	2.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	3.0	1.0	1.0	0.0	3.0	1.0	1.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	2.0	4.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0	1.0	968.0	1050.0
COG0033	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	115.0	126.0
COG0034	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	692.0	761.0
COG0035	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	135.0	141.0
COG0036	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	395.0	445.0
COG0037	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	3.0	0.0	1.0	3.0	1.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	556.0	658.0
COG0038	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	409.0	446.0
COG0039	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	489.0	540.0
COG0040	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	371.0	418.0
COG0041	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	325.0	395.0
COG0042	1.0	0.0	3.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	2.0	531.0	581.0
COG0043	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	0.0	0.0	10.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	509.0	570.0
COG0044	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	2.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	881.0	959.0
COG0045	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	3.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	748.0	832.0
COG0046	2.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	965.0	1035.0
COG0047	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	382.0	428.0
COG0048	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	319.0	382.0
COG0049	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	363.0	428.0
COG0050	0.0	0.0	3.0	1.0	0.0	3.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	4.0	1.0	3.0	1.0	1.0	1.0	0.0	0.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	3.0	2.0	3.0	4.0	3.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	2.0	988.0	1067.0
